draw,S,mae_or_nonnull,beta_NH-Black,se_NH-Black,OR_NH-Black,covered_NH-Black,flag_NH-Black,p_NH-Black,beta_NH-Asian,se_NH-Asian,OR_NH-Asian,covered_NH-Asian,flag_NH-Asian,p_NH-Asian,beta_NH-AmInd-AKNat,se_NH-AmInd-AKNat,OR_NH-AmInd-AKNat,covered_NH-AmInd-AKNat,flag_NH-AmInd-AKNat,p_NH-AmInd-AKNat,beta_Hispanic,se_Hispanic,OR_Hispanic,covered_Hispanic,flag_Hispanic,p_Hispanic,beta_NH-Other-Multi,se_NH-Other-Multi,OR_NH-Other-Multi,covered_NH-Other-Multi,flag_NH-Other-Multi,p_NH-Other-Multi
28,3,0.004512047458049007,-0.4906609706937168,0.013736450122693946,0.6122215998849845,True,True,1.959796588109606e-279,-0.19147176992587683,0.007536768245466581,0.825742935561731,True,True,2.2193337584939402e-142,-0.04944591714430773,0.04059736054598178,0.9517566304610638,True,False,0.2232395864588278,-0.30112509168164003,0.006738671494371193,0.739985200963671,True,True,0.0,0.0021722349279803435,0.015703642095782816,1.0021745959395192,True,False,0.8899821272208346
29,3,0.005816777279027667,-0.5239076004920112,0.013736450122693946,0.5922019322467167,True,True,0.0,-0.20071858914908808,0.007536768245466581,0.8181426333763206,True,True,2.8992624367853244e-156,-0.0006208383311578708,0.04059736054598178,0.9993793543490823,True,False,0.9877987631319044,-0.2965859877823766,0.006738671494371193,0.743351705351223,True,True,0.0,0.0012754624126589261,0.015703642095782816,1.0012762761607736,True,False,0.9352663561939374
30,4,0.00596258643411766,-0.4777348205255203,0.013736450122693946,0.6201866359443106,True,True,5.119826486933258e-265,-0.20109279451621004,0.007536768245466581,0.8178365372868115,True,True,7.703384233521892e-157,0.08807822906937285,0.04059736054598178,1.0920735505842045,False,True,0.030040531477889373,-0.304515423787211,0.006738671494371193,0.7374806534022124,True,True,0.0,-0.02023576746002754,0.015703642095782816,0.9799676015958929,True,False,0.19753598169141873
31,3,0.004969252478900603,-0.5028122695883704,0.013736450122693946,0.6048273282202042,True,True,2.4489648142132194e-293,-0.21084647692407804,0.007536768245466581,0.8098983954302321,True,True,3.208913503143952e-172,-0.006770760174067819,0.04059736054598178,0.9932521097778364,True,False,0.8675444665307179,-0.30591915860338603,0.006738671494371193,0.736446152385195,True,True,0.0,0.0021674001193547595,0.015703642095782816,1.0021697506288516,True,False,0.8902254446613678
32,3,0.003120398660028482,-0.5075677251610459,0.013736450122693946,0.6019579267946832,True,True,7.168819202961809e-299,-0.20077050828352658,0.007536768245466581,0.8181001572216205,True,True,2.4126200873618673e-156,-0.021898033648116565,0.04059736054598178,0.9783399877248655,True,False,0.5896139844379225,-0.305628343117328,0.006738671494371193,0.7366603534759439,True,True,0.0,-0.011804464316301964,0.015703642095782816,0.9882649350301465,True,False,0.4522300903073565
33,3,0.0060331819931335184,-0.48536150664554745,0.013736450122693946,0.615474658362989,True,True,1.7757735494950095e-273,-0.21010508284194163,0.007536768245466581,0.8104990719492299,True,True,5.022870682303203e-171,0.00036095121623590405,0.04059736054598178,1.0003610163669647,True,False,0.9929061001885918,-0.3012478671899928,0.006738671494371193,0.7398943544814248,True,True,0.0,-0.008813712679097826,0.015703642095782816,0.9912250142270392,True,False,0.5746252313921763
34,3,0.005481745212749578,-0.5082415759692063,0.013736450122693946,0.6015524335955377,True,True,1.1671732058230686e-299,-0.2036153172301953,0.007536768245466581,0.8157761258550507,True,True,9.519630798881309e-161,-0.03733040740002689,0.04059736054598178,0.963357782218716,True,False,0.3578194972873352,-0.31155704028064285,0.006738671494371193,0.732305838383496,True,True,0.0,-0.02467011438913196,0.015703642095782816,0.9756317058090985,True,False,0.11618719492104593
35,3,0.002971590925330836,-0.5088625045021157,0.013736450122693946,0.6011790284664239,True,True,2.1868056972415045e-300,-0.20393151962833742,0.007536768245466581,0.8155182162656724,True,True,3.0571124955878747e-161,-0.07840778554579686,0.04059736054598178,0.9245873163152944,True,False,0.05343956098626575,-0.2995268450895819,0.006738671494371193,0.7411688253991915,True,True,0.0,0.017337206883410387,0.015703642095782816,1.0174883685648834,True,False,0.26958247493475096
36,3,0.0023562853534579617,-0.49887137108052765,0.013736450122693946,0.6072155942014618,True,True,8.615355243875906e-289,-0.2070793421055866,0.007536768245466581,0.8129551458556383,True,True,3.4099797044325354e-166,0.03935610384421519,0.04059736054598178,1.0401408158509338,True,False,0.3323330905280898,-0.3008214758009183,0.006738671494371193,0.7402099063325158,True,True,0.0,0.012702413169770424,0.015703642095782816,1.0127834314992736,True,False,0.41858230022752196
37,4,0.0036678397578503072,-0.5077778615014263,0.013736450122693946,0.6018314468483655,True,True,4.0712634651182e-299,-0.1956961322669375,0.007536768245466581,0.8222620556268283,True,True,1.2145239592499576e-148,0.004388064774021362,0.04059736054598178,1.004397706427827,True,False,0.9139263311731664,-0.3037501868530277,0.006738671494371193,0.7380452168212813,True,True,0.0,0.03495729226889766,0.015703642095782816,1.0355754807760216,False,True,0.026009980458380863
